128        0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH AMP
  1      203.7561060   7  51
  1      203.7585485   8  53
  1      203.7616317   2  51
  1      203.7625058   6  53
  1      203.7626945   5  51
  1      203.7633510   8  51
  1      203.7652572   4  50
  1      203.7656187   9  51
  1      203.7657333  10  51
  1      204.2455770   1  55
  1      204.2469228   1  52
  1      204.2482790  10  50
  1      204.2496202   1  54
  1      204.2496755  10  50
  1      204.2514515   9  51
  1      204.2516620   1  52
  1      204.2530307   1  55
  1      204.2533960   9  50
  1      204.2544755  10  52
  1      204.2550503   9  50
  1      204.2567180  10  53
  1      204.2580300   9  52
  1      204.2590743  10  52
  1      204.2611318   9  51
  1      204.2617828  10  52
  1      204.2623772   9  51
  1      204.2638530  10  51
  1      204.2640780   9  51
  1      204.2646965   5  50
  1      204.2651015  10  51
  1      204.2655443   9  51
  1      204.2667865  10  51
  1      204.2670523   9  51
  1      204.2687400   9  51
  1      204.2693490  10  52
  1      204.2694833   6  51
  1      204.2701892   9  52
  1      204.2701900   1  53
  1      204.2721883   1  51
  1      204.2725072  10  51
  1      204.2750632   1  53
  1      204.2768670   1  51
  1      204.2770320  10  51
211      211.0521510		Time Mark
  1      223.1537915   8  75
  1      223.1538695   7  67
  1      223.1539700   1  69
  1      223.1540590   2  60
  1      223.1542157   3  59
  1      223.1544368   4  60
* Gp# 1[8,7,1] x =      362, y =     1277, q = 1 dT[    41,   275] Src Amplitude = 75.0
*        223.1537915   8  75
*        223.1538695   7  67
*        223.1539700   1  69
  1      223.1544783   5  60
  1      223.1545360   9  65
  1      223.1545615  10  66
  1      223.1545903   6  62
  1      223.1600953   2  53
  1      223.1641403   8  51
  1      223.1642572   5  50
  1      223.1649628   6  51
  1      223.1655945   5  51
  1      223.1656258  10  51
  1      223.1667250   9  52
  1      223.1670042   1  51
  1      223.1685125  10  51
  1      226.1247590   8  77
  1      226.1248380   7  69
  1      226.1249120   1  71
  1      226.1250293   2  62
  1      226.1251858   3  60
  1      226.1254013   4  62
  1      226.1254465   5  63
  1      226.1254775   6  63
  1      226.1255068   9  67
  1      226.1255283  10  67
  1      226.1293640   7  52
  1      226.1310345   7  50
  1      226.1348913   8  53
  1      226.1351150   2  51
  1      226.1377485   6  50
  1      226.1378252   5  52
  1      226.1378968   9  52
  1      226.1384102   4  51
  1      226.1389960   6  50
  1      226.1394610   1  52
  1      226.1396710   9  50
  1      226.1411705   6  50
  1      226.1412000   4  51
  1      226.1412503   1  50
* Gp# 1[6,4,1] x =     2426, y =     1704, q = 1 dT[    35,    80] Src Amplitude = 50.0
*        226.1411705   6  50
*        226.1412000   4  51
*        226.1412503   1  50
  1      229.2857868   8  78
  1      229.2858658   7  69
  1      229.2859380   1  72
  1      229.2860560   2  61
  1      229.2862067   3  61
  1      229.2864337   4  62
  1      229.2864683   5  63
* Gp# 1[8,7,2] x =    517.1, y =   -67.03, q = 1 dT[    43,   232] Src Amplitude = 78.0
*        229.2857868   8  78
*        229.2858658   7  69
*        229.2860560   2  61
  1      229.2864810  10  69
  1      229.2865075   6  65
  1      229.2865327   9  67
  1      229.2959335   2  51
  1      229.2965353   8  51
  1      229.2978640   4  51
  1      229.2988475   5  53
  1      229.2993240   6  52
  1      229.2999785   1  52
  1      229.3010608   5  51
  1      229.3019128   9  51
  1      229.3022262   4  51
  1      229.3022760   1  51
  1      237.2484563   8  78
  1      237.2485343   7  69
  1      237.2486080   1  72
  1      237.2487280   2  61
  1      237.2489112   3  61
  1      237.2491017   4  63
  1      237.2491372   5  62
  1      237.2491602   9  65
  1      237.2491615   6  66
  1      237.2492240  10  69
  1      237.2581463   2  50
* Gp# 1[9,5,10,6] x =     1864, y =     2728, q = 0 dT[    13,    81,   136] Src Amplitude = 65.0
*        237.2491602   9  65
*        237.2491372   5  62
*        237.2492240  10  69
*        237.2491615   6  66
  1      237.2592050   8  50
  1      237.2595443   2  51
  1      237.2607713   6  51
  1      237.2608953   4  51
  1      237.2618653   5  51
  1      237.2629895   6  53
  1      237.2630305   1  51
  1      237.2637247   5  51
  1      237.2643015   9  51
  1      237.2644603  10  52
  1      237.2649010   4  50
  1      237.2649505   1  51
  1      248.5108150   8  78
  1      248.5108933   7  69
  1      248.5109658   1  71
  1      248.5110835   2  62
  1      248.5112402   3  61
  1      248.5114553   4  62
  1      248.5114957   5  63
  1      248.5115310   6  65
  1      248.5115605   9  67
  1      248.5115820  10  69
  1      248.5211693   2  51
  1      248.5238068   6  50
  1      248.5238750   5  52
  1      248.5239510   9  52
  1      248.5244630   4  51
  1      248.5253485   6  53
  1      248.5253933   1  52
  1      248.5260885   5  50
  1      248.5269398   9  51
  1      248.5272245   6  50
  1      248.5272540   4  51
  1      248.5273037   1  51
  1      249.3405990   8  52
  1      251.8140618   1  51
  1      251.8154815   1  51
  1      251.8159582   9  50
  1      251.8170680   1  51
  1      251.8189613   9  50
  1      251.8195768   1  50
  1      251.8210740   1  51
  1      253.3027375   1  50
211      259.2447555		Time Mark
  1      270.3274585   8  76
