128        0.0000000		Acquisition Running
  1      127.0970600   5  50
  1      127.0973690   6  52
  1      127.0978447   9  51
  1      127.0992198  10  51
  1      127.0992845   6  51
  1      127.0996183   1  52
* Gp# 1[10,6,1] x =     1343, y =     2349, q = 1 dT[    65,   404] Src Amplitude = 51.0
*        127.0992198  10  51
*        127.0992845   6  51
*        127.0996183   1  52
  1      130.2459023   7  75
  1      130.2459287   8  82
  1      130.2459343   2  78
  1      130.2459835   1  83
  1      130.2461493   3  64
  1      130.2461880   5  72
  1      130.2462380   4  72
  1      130.2463260  10  80
  1      130.2463405   6  73
* Gp# 1[7,2,8,1,3,5] x =    613.5, y =    77.92, q = 0.8919 dT[    38,    40,   118,   342,   475] Src Amplitude = 75.0
*        130.2459023   7  75
*        130.2459343   2  78
*        130.2459287   8  82
*        130.2459835   1  83
*        130.2461493   3  64
*        130.2461880   5  72
  1      130.2463452   9  73
  1      130.2625547   7  51
  1      130.2661140   2  51
  1      130.2666645   8  50
  1      130.2693183   4  52
  1      130.2695868   6  51
  1      130.2700197   5  50
  1      130.2707790   9  51
  1      130.2716635   4  51
  1      130.2717675  10  51
  1      130.2718760   6  51
  1      130.2720633   1  52
  1      130.2740238   1  51
  1      130.4261605   2  61
  1      130.4262833   1  62
  1      130.4263380   8  56
  1      130.4265660   4  54
  1      130.4265868   5  52
  1      130.4266725   6  52
  1      130.4268085  10  57
  1      130.4270035   9  55
  1      130.4281873   4  50
* Gp# 1[2,1,8,4] x =    674.8, y =    713.4, q = 0.9783 dT[   126,   274,   406] Src Amplitude = 61.0
*        130.4261605   2  61
*        130.4262833   1  62
*        130.4263380   8  56
*        130.4265660   4  54
  1      130.4290993  10  52
  1      130.4310095   1  52
  1      133.2198640   7  74
  1      133.2198880   8  81
  1      133.2199465   1  83
  1      133.2199773   2  79
  1      133.2201100   3  64
  1      133.2202338   5  72
  1      133.2202732   4  72
  1      133.2203025   6  73
* Gp# 1[7,2,8,1,3,5] x =    613.4, y =    77.79, q = 0.8909 dT[    35,    39,   120,   343,   476] Src Amplitude = 74.0
*        133.2198640   7  74
*        133.2199773   2  79
*        133.2198880   8  81
*        133.2199465   1  83
*        133.2201100   3  64
*        133.2202338   5  72
  1      133.2204225  10  78
  1      133.2204250   9  74
  1      133.2365170   7  51
  1      133.2367892   2  54
  1      133.2399280   2  51
  1      133.2405683   8  50
  1      133.2405775   4  53
  1      133.2418610   8  51
  1      133.2432808   4  51
  1      133.2437045   6  51
  1      133.2442565   9  51
  1      133.2442727   5  50
  1      133.2452852   6  50
  1      133.2456262   4  50
  1      133.2457303  10  50
  1      133.2457428   9  50
  1      133.2460305   1  52
  1      133.2479810   1  50
  1      133.3912597   2  55
  1      133.3913753   1  57
  1      133.3913978   8  53
  1      133.3923612  10  53
* Gp# 1[2,1,8] x =    736.3, y =    452.2, q = 0.9997 dT[   127,   144] Src Amplitude = 55.0
*        133.3912597   2  55
*        133.3913753   1  57
*        133.3913978   8  53
  1      136.1718107   7  73
  1      136.1718373   8  80
  1      136.1718988   1  82
  1      136.1719255   2  78
  1      136.1720580   3  62
  1      136.1721803   5  71
  1      136.1722198   4  71
  1      136.1723625   6  72
* Gp# 1[7,2,8,1,3,5] x =    620.9, y =    80.21, q = 0.8917 dT[    39,    44,   119,   340,   476] Src Amplitude = 73.0
*        136.1718107   7  73
*        136.1719255   2  78
*        136.1718373   8  80
*        136.1718988   1  82
*        136.1720580   3  62
*        136.1721803   5  71
  1      136.1723965   9  73
  1      136.1724160  10  78
  1      136.1869392   7  52
  1      136.1925147   8  50
  1      136.1925477   4  53
  1      136.1939180   5  52
  1      136.1942523   6  52
  1      136.1946957   4  53
  1      136.1955920   9  52
  1      136.1956545   6  51
  1      136.1975785  10  50
  1      136.1979778   1  51
211      141.0535762		Time Mark
  1      145.6042635   7  77
  1      145.6043032   8  79
  1      145.6043635   1  77
  1      145.6043720   2  72
  1      145.6044733   3  61
  1      145.6047433   4  67
* Gp# 1[7,8,1] x =     2031, y =     1430, q = 0.8917 dT[   112,   396] Src Amplitude = 77.0
*        145.6042635   7  77
*        145.6043032   8  79
*        145.6043635   1  77
  1      145.6047783   5  69
  1      145.6048103   9  75
  1      145.6048148  10  71
  1      145.6048197   6  70
  1      145.6229280   8  51
* Gp# 1[6,9,10] x =     2393, y =     2206, q = 1 dT[   118,   284] Src Amplitude = 70.0
*        145.6048197   6  70
*        145.6048103   9  75
*        145.6048148  10  71
  1      145.6237810   6  51
  1      145.6242868   8  50
  1      145.6250025   5  51
  1      145.6250693   4  51
  1      145.6251008   6  51
  1      145.6260978   8  50
  1      145.6266232   1  52
  1      145.6266733   4  50
  1      145.6273370   6  52
  1      145.6279365  10  51
  1      150.8789418   7  77
  1      150.8789820   8  79
  1      150.8790455   1  77
  1      150.8790505   2  72
  1      150.8791518   3  60
  1      150.8793717  10  71
* Gp# 1[7,8,1] x =     2096, y =     3556, q = 1 dT[   112,   386] Src Amplitude = 77.0
*        150.8789418   7  77
*        150.8789820   8  79
*        150.8790455   1  77
  1      150.8794213   5  68
  1      150.8794220   4  67
  1      150.8794680   9  75
  1      150.8795223   6  70
  1      150.8982287   6  51
  1      150.8989650   8  51
  1      150.8996975   6  51
  1      150.9000455   5  52
  1      150.9007758   8  51
  1      150.9013020   1  51
  1      150.9019128   6  51
  1      150.9020020   9  51
  1      156.4464028   7  77
  1      156.4464537   8  79
  1      156.4465140   1  76
  1      156.4465230   2  72
  1      156.4466245   3  60
  1      156.4468937   5  68
  1      156.4468943   4  67
  1      156.4469403   9  74
* Gp# 1[7,8,1] x =     1631, y =     4906, q = 1 dT[   111,   385] Src Amplitude = 77.0
*        156.4464028   7  77
*        156.4464537   8  79
*        156.4465140   1  76
  1      156.4469658   6  70
  1      156.4469927  10  72
  1      156.4501163   3  51
* Gp# 1[6,9,10] x =     2400, y =     2172, q = 1 dT[   128,   294] Src Amplitude = 70.0
*        156.4469658   6  70
*        156.4469403   9  74
*        156.4469927  10  72
  1      156.4627752   2  51
  1      156.4641453   8  51
  1      156.4654813   4  51
  1      156.4655263   5  50
  1      156.4656323   8  51
  1      156.4658543   6  51
  1      156.4671060   5  51
* Gp# 1[5,4,8] x =     1661, y =     1387, q = 0.9409 dT[   197,   274] Src Amplitude = 50.0
*        156.4655263   5  50
*        156.4654813   4  51
*        156.4656323   8  51
  1      156.4671698   6  52
  1      156.4686043   4  51
  1      156.4694330   1  51
  1      156.4694793   9  51
  1      156.4694915   6  51
  1      156.4700878  10  50
  1      156.4713425   1  51
* Gp# 1[6,1,9] x =    492.2, y =     1792, q = 0.9999 dT[    16,    70] Src Amplitude = 51.0
*        156.4694915   6  51
*        156.4694330   1  51
*        156.4694793   9  51
  1      163.2801095   7  71
  1      163.2801525   8  72
  1      163.2802077   1  70
  1      163.2802095   2  66
  1      163.2806040   3  55
  1      163.2806247   4  61
  1      163.2806380   5  63
  1      163.2806883  10  66
* Gp# 1[7,8,1] x =    838.2, y =     3142, q = 0.9999 dT[   112,   385] Src Amplitude = 71.0
*        163.2801095   7  71
*        163.2801525   8  72
*        163.2802077   1  70
  1      163.2807043   6  65
  1      163.2807958   9  68
  1      163.2883933   7  50
* Gp# 1[6,9,10] x =     2400, y =     2172, q = 1 dT[   128,   294] Src Amplitude = 65.0
*        163.2807043   6  65
*        163.2807958   9  68
*        163.2806883  10  66
  1      163.2910505   2  51
  1      163.2946588   4  50
  1      163.2947358   5  51
  1      163.2949647   9  51
  1      163.2962200   1  50
* Gp# 1[5,4,9] x =     1144, y =     2428, q = 1 dT[   153,   229] Src Amplitude = 51.0
*        163.2947358   5  51
*        163.2946588   4  50
*        163.2949647   9  51
  1      163.2966175  10  51
  1      163.2968892   9  51
  1      163.2980020   1  51
  1      163.2984465   9  50
  1      163.2994442  10  50
  1      166.5275505   7  72
  1      166.5275837   8  74
  1      166.5276488   1  73
  1      166.5276502   2  68
  1      166.5277542   3  56
  1      166.5280628   4  63
* Gp# 1[7,8,1] x =    230.8, y =     3778, q = 1 dT[   111,   385] Src Amplitude = 72.0
*        166.5275505   7  72
*        166.5275837   8  74
*        166.5276488   1  73
  1      166.5280790   5  65
  1      166.5281288  10  68
  1      166.5281445   6  66
  1      166.5282362   9  70
  1      166.5367132   7  51
* Gp# 1[6,9,10] x =     2400, y =     2171, q = 1 dT[   128,   294] Src Amplitude = 66.0
*        166.5281445   6  66
*        166.5282362   9  70
*        166.5281288  10  68
  1      166.5399283   2  51
  1      166.5422310   8  51
  1      166.5428688   4  52
  1      166.5432140   5  52
  1      166.5439197  10  53
  1      166.5450805   5  51
  1      166.5465060   9  52
  1      166.5468845  10  52
  1      167.0998173   8  55
  1      167.0999088   1  58
  1      167.1006307  10  54
  1      167.1008250   9  53
* Gp# 1[8,1,10] x =     2357, y =     3521, q = 1 dT[   163,   607] Src Amplitude = 55.0
*        167.0998173   8  55
*        167.0999088   1  58
*        167.1006307  10  54
  1      167.1010888   6  50
  1      167.1028863   6  50
  1      167.1037837   9  51
  1      167.1042075  10  54
  1      167.1047270   1  51
  1      167.1058303  10  50
  1      169.8967243   7  73
  1      169.8967720   8  75
  1      169.8968223   1  73
  1      169.8968235   2  68
  1      169.8969278   3  56
  1      169.8972357   4  62
* Gp# 1[7,8,1] x =    197.5, y =     4871, q = 1 dT[   112,   386] Src Amplitude = 73.0
*        169.8967243   7  73
*        169.8967720   8  75
