128        0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH AMP
  1     1466.0465860   7  40
  1     1466.0517400   7  40
  1     1466.0553232   7  40
  1     1466.0573675   2  41
  1     1466.0600622   2  42
  1     1466.0633270   2  41
  1     1466.0639090  10  41
  1     1466.0663765   9  44
  1     1466.0665795   2  40
  1     1466.0675067  10  40
  1     1466.0696710   2  40
  1     1466.0699647  10  41
  1     1466.0718475   5  42
  1     1466.0720783   9  41
  1     1466.0723945  10  40
  1     1466.0739930   4  40
  1     1466.0745595   2  40
  1     1466.0760153   4  40
  1     1466.0762715   5  41
  1     1466.0778802   9  41
  1     1466.0789075   4  40
  1     1466.0800373   5  41
  1     1466.0812783   9  40
  1     1466.0816125   3  42
  1     1466.0881940   1  40
  1     1466.0901135   1  41
  1     1466.1000582   3  56
  1     1466.1001282   7  46
  1     1466.1001600   2  53
  1     1466.1002270   8  51
  1     1466.1002375   1  53
  1     1466.1006135   4  51
  1     1466.1007980   6  40
  1     1466.1008715   9  48
  1     1466.1008825   5  46
  1     1466.1011070  10  50
  1     1466.1078410   8  41
* Gp# 1[3,7,2,8] x =     1555, y =    553.1 dT[    70,   102,   169] Src Amplitude = 56.0
*       1466.1000582   3  56
*       1466.1001282   7  46
*       1466.1001600   2  53
*       1466.1002270   8  51
  1     1466.1105340   2  41
  1     1466.1135923   4  41
  1     1466.1138790   5  40
  1     1466.1151553   2  40
  1     1466.1159785   7  41
  1     1466.1164787   9  40
  1     1466.1169702   3  41
  1     1466.1183707  10  40
  1     1466.1220060   3  40
  1     1468.2005923   7  83
  1     1468.2006395   8  82
  1     1468.2006772   3  81
  1     1468.2007425   1  84
  1     1468.2007425   2  80
  1     1468.2009272   6  69
  1     1468.2009312   5  76
  1     1468.2009802   4  78
  1     1468.2010725  10  75
  1     1468.2010893   9  75
  1     1468.2336355   6  40
* Gp# 1[7,8,3,1,2,6,5,4] x =     1677, y =   -17.27 dT[    47,    85,   150,   150,   335,   339,   388] Src Amplitude = 83.0
*       1468.2005923   7  83
*       1468.2006395   8  82
*       1468.2006772   3  81
*       1468.2007425   1  84
*       1468.2007425   2  80
*       1468.2009272   6  69
*       1468.2009312   5  76
*       1468.2009802   4  78
  1     1468.2343510   8  41
  1     1468.2405562   2  40
  1     1468.2424410   3  42
  1     1468.2448422   1  43
  1     1468.2464650   9  40
  1     1468.5942283   1  42
  1     1469.5165425   1  40
